,City,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
0,Tiznit Province,29.58,-9.5,63.73,84,67,0.87,MA,1603258404
1,Guerrero Negro,27.98,-114.06,68.34,90,0,9.24,MX,1603258404
2,Dikson,73.51,80.55,24.91,97,95,5.41,RU,1603258405
3,Yellowknife,62.46,-114.35,23.0,73,90,9.17,CA,1603258290
4,Ushuaia,-54.8,-68.3,39.2,86,40,8.34,AR,1603258405
5,Gamba,-2.65,10.0,76.59,88,98,4.12,GA,1603258405
6,Sitka,57.05,-135.33,37.4,86,40,3.36,US,1603258405
7,Adrar,20.5,-10.07,79.38,20,0,5.06,MR,1603258406
8,Libertador General San Martín,-23.81,-64.79,73.0,65,100,4.0,AR,1603258406
9,Igrim,63.19,64.42,31.08,95,28,4.43,RU,1603258406
10,Torbay,47.67,-52.73,60.01,87,75,18.34,CA,1603258406
11,Kapaa,22.08,-159.32,77.0,88,75,9.17,US,1603258162
12,Punta Arenas,-53.15,-70.92,37.4,74,40,8.05,CL,1603258294
13,Longyearbyen,78.22,15.64,26.6,68,75,5.82,SJ,1603258407
14,Grand Gaube,-20.01,57.66,80.01,60,0,11.99,MU,1603258407
15,Kruisfontein,-34.0,24.73,59.0,60,0,5.19,ZA,1603258407
16,Promissão,-21.54,-49.86,70.36,88,2,4.21,BR,1603258407
17,Novoaleksandrovsk,45.49,41.22,49.6,64,17,5.37,RU,1603258407
18,Ribeira Grande,38.52,-28.7,63.1,68,61,23.22,PT,1603258408
19,Bredasdorp,-34.53,20.04,46.4,93,0,1.12,ZA,1603258408
20,Tiksi,71.69,128.87,7.86,92,61,7.74,RU,1603258408
21,Carnarvon,-24.87,113.63,73.4,60,75,17.22,AU,1603258408
22,George Town,5.41,100.34,87.8,62,40,6.93,MY,1603258408
23,Fortuna,40.6,-124.16,55.0,87,1,8.05,US,1603258409
24,Nanortalik,60.14,-45.24,33.8,91,100,12.64,GL,1603258409
25,Angoche,-16.23,39.91,82.38,62,0,8.59,MZ,1603258409
26,Santa Isabel,-23.32,-46.22,62.6,100,20,0.47,BR,1603258410
27,Jamestown,42.1,-79.24,51.8,93,90,5.82,US,1603258376
28,Hermanus,-34.42,19.23,55.0,78,0,4.0,ZA,1603258410
29,Upernavik,72.79,-56.15,31.89,98,100,5.48,GL,1603258410
30,Laas,46.62,10.7,48.99,93,40,5.82,IT,1603258410
31,Ancud,-41.87,-73.82,39.99,80,0,5.82,CL,1603258411
32,Iracoubo,5.48,-53.2,79.74,81,100,11.77,GF,1603258411
33,South Patrick Shores,28.2,-80.61,81.0,69,1,17.22,US,1603258411
34,Shenjiamen,29.96,122.3,65.79,80,100,19.22,CN,1603258411
35,Barrow,71.29,-156.79,30.2,86,90,16.11,US,1603258412
36,Mataura,-46.19,168.86,55.0,60,37,14.0,NZ,1603258412
37,Saskylakh,71.92,114.08,17.55,96,94,6.62,RU,1603258412
38,Butaritari,3.07,172.79,82.27,75,62,7.7,KI,1603258412
39,Fangshan,39.7,115.99,66.0,17,0,1.01,CN,1603258412
40,Dunedin,-45.87,170.5,52.0,68,79,11.01,NZ,1603258228
41,Mezen',65.85,44.24,32.34,96,93,9.06,RU,1603258413
42,Albany,42.6,-73.97,51.01,87,100,3.18,US,1603258413
43,Klaksvík,62.23,-6.59,39.2,69,14,9.17,FO,1603258413
44,Alofi,-19.06,-169.92,73.4,88,100,16.11,NU,1603258414
45,Colac,-38.33,143.58,55.99,85,56,4.0,AU,1603258369
46,Kumul,42.8,93.45,66.78,22,0,6.24,CN,1603258414
47,Rikitea,-23.12,-134.97,73.81,76,14,8.7,PF,1603258414
48,Kapit,2.02,112.93,94.5,44,64,2.42,MY,1603258414
49,Nikolskoye,59.7,30.79,30.99,100,90,4.47,RU,1603258415
50,Manzanillo,20.34,-77.12,74.57,86,99,3.62,CU,1603258415
51,Cherskiy,68.75,161.3,20.05,97,90,2.44,RU,1603258415
52,Kokopo,-4.35,152.26,82.67,74,74,2.01,PG,1603258415
53,Kenai,60.55,-151.26,28.4,86,1,3.36,US,1603258415
54,New Norfolk,-42.78,147.06,62.6,45,75,8.05,AU,1603258416
55,Saint-Philippe,-21.36,55.77,82.4,58,5,6.93,RE,1603258416
56,Provideniya,64.38,-173.3,42.8,87,75,8.95,RU,1603258416
57,Khani,41.96,42.96,59.0,93,75,2.24,GE,1603258416
58,Cape Town,-33.93,18.42,60.01,93,0,3.36,ZA,1603258283
59,Pouébo,-20.4,164.57,75.9,70,21,5.66,NC,1603258417
60,Souillac,-20.52,57.52,78.8,69,40,13.87,MU,1603258417
61,Talnakh,69.49,88.4,8.6,84,39,6.71,RU,1603258417
62,Tezu,27.92,96.17,88.07,46,25,2.98,IN,1603258417
63,Lompoc,34.64,-120.46,57.2,93,90,5.86,US,1603258304
64,Busselton,-33.65,115.33,64.99,68,39,3.0,AU,1603258417
65,Mahébourg,-20.41,57.7,78.8,69,40,13.87,MU,1603258418
66,Port-Gentil,-0.72,8.78,75.2,100,75,4.7,GA,1603258418
67,Hilo,19.73,-155.09,75.2,73,20,4.52,US,1603258418
68,Manono,-7.3,27.42,72.27,88,97,3.58,CD,1603258418
69,Arraial do Cabo,-22.97,-42.03,71.8,87,1,17.78,BR,1603258419
70,Khatanga,71.97,102.5,6.39,95,81,7.56,RU,1603258419
71,Otuzco,-7.9,-78.58,52.74,82,88,2.08,PE,1603258419
72,Avarua,-21.21,-159.78,73.4,94,100,6.93,CK,1603258419
73,Faanui,-16.48,-151.75,79.11,79,7,13.94,PF,1603258419
74,Itoman,26.12,127.67,82.4,69,90,17.22,JP,1603258420
